ResponseId,Finished,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,QID45,QID46,QID20,QID21,QID50,QID51,QID52,QID53,QID55,QID56,QID57,QID58,QID70,QID71,QID72,QID73,QID76,QID77,QID78,QID79,QID82,QID83,QID84,QID85,
R_7ibtKdVlAwieRiS,FALSE,18-21,Male,Graduate,Not at all price-sensitive,Never,Not at all impulsive,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,
R_1In5h4ceE5ZqJA4,TRUE,22-25,Male,Graduate,Very price-sensitive,Rarely (a few times a year),Not at all impulsive,Strongly disagree,Somewhat agree,,,,,,,,,,,,,Somewhat likely,Moderately urgent,A little,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_3ov6hKppsOJJy2J,TRUE,18-21,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,Somewhat likely,Moderately urgent,A little,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_5CvOKjlNt1Luve6,TRUE,18-21,Male,Undergraduate,Very price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Somewhat Disagree,Somewhat agree,,,,,,,,,,,,,Somewhat unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_3eLSDjkKKXaFWQ2,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Agree,Somewhat agree,,,,,,,,,,,,,Extremely likely,Moderately urgent,A little,Only 3 left in stock,Somewhat likely,Moderately urgent,A little,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_1hWyyEMLKYINnHj,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Disagree,Somewhat agree,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,,,,,,,,,,,,,
R_6j0ea07goMgWa9b,FALSE,22-25,Female,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3HhH4ybQLl4Aopy,TRUE,22-25,Male,Graduate,Very price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Strongly disagree,Somewhat likely,Slightly urgent,A moderate amount,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_8CIExIZNOvwrcc5,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Neither Agree nor Disagree,Strongly disagree,,,,,,,,,,,,,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_6ImwaVOc27c0Qq2,TRUE,22-25,Male,Graduate,Very price-sensitive,Often ( 1-2 times a week),Very impulsive,Strongly agree,Neither agree nor disagree,,,,,,,,,,,,,Neither likely nor unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,Extremely unlikely,Slightly urgent,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_2ZVsK5MRz0UxWgh,TRUE,18-21,Non-binary / third gender,Undergraduate,Extremely price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Neither Agree nor Disagree,Neither agree nor disagree,,,,,,,,,,,,,Somewhat unlikely,Very urgent,A little,In stock. Available.,Neither likely nor unlikely,Not urgent at all,A little,Only 3 left in stock,Neither likely nor unlikely,Slightly urgent,None at all,In stock. Available.,
R_246OhCvX7Bzwetd,TRUE,18-21,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,Neither likely nor unlikely,Slightly urgent,None at all,In stock. Available.,Somewhat likely,Slightly urgent,A little,In stock. Available.,Somewhat likely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_2qJopINfj4NvpSd,TRUE,22-25,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Neither Agree nor Disagree,Somewhat disagree,Somewhat likely,Very urgent,None at all,In stock. Available.,Somewhat unlikely,Slightly urgent,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_196gauqvxXMN0jv,FALSE,18-21,Male,Undergraduate,Moderately price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,
